data,perfil,dia,fonte,posicao,titulo,canal,url,duracao,publicado,views,tema
21/02/2026,P4,1,NEXT,1,CHEGA DE SUJEIRA,Ana Zambrin,https://youtu.be/sOH7Ub6biBg?si=p-2yJlScuGxjYWeC,14:05,09/07/2023,3300000,NEUTRO
21/02/2026,P4,1,NEXT,2,S25 Ultra HUMILHA o,Escolha Certa,https://youtu.be/ivL76gC9p-I?si=Wyol4eLt-Wf0ZZH9,15:39,25/01/2026,133000,NEUTRO
21/02/2026,P4,1,NEXT,3,Sie haben noch nie ,Essen Recipes,https://youtu.be/cm8JhrALS10?si=SumaZiZI9dp4jTf7,04:08,22/10/2021,5300000,NEUTRO
21/02/2026,P4,1,NEXT,4,Frango BBQ Pra Semana Em Menos de 40 Minutos,Dr. Henrique Monteiro,https://youtu.be/qhNRIoARye0?si=IXfZvdLxB2gduNPx,03:23,29/07/2025,490000,NEUTRO
21/02/2026,P4,1,NEXT,5,COMO FAZER ARROZ,Claudia Oliveira Receitas,https://youtu.be/K8WR30UMH4E?si=qV1myUS0HxHx73Nw,03:31,02/02/2026,22000,NEUTRO
21/02/2026,P4,1,NEXT,6,NAO FACA BATATA,Nandu Andrade,https://youtu.be/0Eem9EenicM?si=uQEpnWmEj_5-oUGR,05:36,28/05/2020,6200000,NEUTRO
21/02/2026,P4,1,NEXT,7,Frango japones em,Receitas do Kazu,https://youtu.be/xtVp6riyDaY?si=G8AVOtWCUz15ooRl,04:35,05/02/2026,53000,NEUTRO
21/02/2026,P4,1,NEXT,8,CARNE DE PANELA,Van Oliveira,https://youtu.be/u4LGC2b9nvo?si=S8C6L7GHhOT3IAUr,06:49,07/02/2024,3100000,NEUTRO
21/02/2026,P4,1,NEXT,9,DEPOIS QUE FIZ FRANGO,top cozinha,https://youtu.be/bNoAfSLIMRw?si=4IljnPcrp0mGQdXv,04:01,08/10/2020,2200000,NEUTRO
21/02/2026,P4,1,NEXT,10,File de frango facil no,Ana Zambrin,https://youtu.be/flEuQrmJjXs?si=9UyJLpqFxOmdFTzo,15:09,15/04/2024,1700000,NEUTRO
22/02/2026,P1,2,HOME,1,Brasil e India fecham acordo sobre minerais criticos e terras,SBT News,https://youtu.be/7dGzLB8tMDM?si=xNtLUUU882TC9Cw7,7:15,22/02/2026,1300,POLITICA
22/02/2026,P1,2,HOME,2,Servico secreto dos EUA mata a tiros homem que invadiu resort de Trump em Mar-a-Lago,TIMES BRASIL ,https://youtu.be/xHLjRr_x8tk?si=h8VwWKj2K1zYgCB8,6:51,22/02/2026,1000,POLITICA
