perfil,dia,fonte,posicao,posicao_mmr,canal,tema,titulo,url
P1,4,NEXT,1,1,SBT News,POLITICA,Hugo Motta nega supersalarios e diz que solucao depende do Executivo,https://youtu.be/DYApB0jEyhA?si=BPhw4ILzESyopopp
P1,4,NEXT,3,2,CNN Brasil,POLITICA,Bolsa renova recorde e supera 191 mil pontos,https://youtu.be/ziNMAoTKY9I?si=_QXuV4vmcxj21XOH
P1,4,NEXT,4,3,UOL,POLITICA,Rean volta ao STF para rediscutir depoimento de Vorcaro,https://youtu.be/Co486PZKBdc?si=8VtmYvoRFbiN7FP4
P1,4,NEXT,5,4,Record News,POLITICA,Novas tarifas dos EUA entram em vigor com taxa mais baixa de 10%,https://youtu.be/AhSTDmbTGmk?si=ZFbwN4SjdiJaDdaZ
P1,4,NEXT,6,5,O TEMPO,POLITICA,Petroleiros estao pressionando o governo para que Lula ajude Cuba,https://youtu.be/f8TB4t-zthM?si=yZjsvp8qHkJG2AF4
P1,4,NEXT,7,6,Metropoles,POLITICA,O que acontece apos viagem de Lula a Asia,https://youtu.be/dMSha1elznE?si=9XB_RMAjT1J6A1Ur
P1,4,NEXT,8,7,CanalGov,POLITICA,Governo revoga decreto de estudos para concessao de hidrovias na Amazonia,https://youtu.be/G7Rq1qkLqbY?si=G0OcLIS8dmywD0R7
P1,4,NEXT,10,8,g1,POLITICA,JH: Guerra entreUcrania e Russia completa 4 anos,https://youtu.be/cQjg19nGLuU?si=6z9IDk8okx7fm9Gk
P1,4,NEXT,2,9,SBT News,POLITICA,Juiz de fora acumula 584 mm e evacua areas de risco,https://youtu.be/WHJfM8TpaYI?si=cOpOaLFgdRVFa66U
P1,4,NEXT,9,10,SBT News,POLITICA,Sobrinho dos Brazao critica delacao e defende inocencia no caso Marielle,https://youtu.be/P-KMz00gvVQ?si=XDqnAJHTB8PrbSVI
P1,5,HOME,1,1,CNN Brasil,POLITICA,Discurso do Estado da Uniao de Trump ,https://youtu.be/FQ9QLbNXqHM?si=gEGL8ldvhvdKoZMN
P1,5,HOME,2,2,SBT News,POLITICA,Entenda o que muda apos a camara aprovar o PL Antifaccao,https://youtu.be/n-6unvjyxxk?si=1Uokgx8OOf1avURO
P1,5,HOME,3,3,TNT Sports Brasil,POLITICA,VINI JR. E DECISIVO DE NOVO,https://youtu.be/-IY1hnDpQEk?si=6Ya62CIvFuAQhlPn
P1,5,HOME,4,4,92 News HD,POLITICA,Mais um primeiro-ministro enfrenta voto de desconfianca,https://youtu.be/lVOxjVoGtBc?si=fR1lCOTJ9wwLBU2_
P1,5,HOME,6,5,Radio BandNews FM,POLITICA,Desembargador que absolveu homem por estupro de menina,https://youtu.be/LQAUq6nBnFo?si=nJqCJil5qip6Q2zG
P1,5,HOME,7,6,Jovem Pan News,POLITICA,Chanceler da Alemanha chega a China apos ofensivas de Donald ,https://youtu.be/uvhq5Dz0zOs?si=W41qMC74am4PDlFU
P1,5,HOME,8,7,JA Cortes,POLITICA,FLAVIO BOZO INVENTA A MAIOR FAKE NEWS DE TODAS ,https://youtu.be/M-8phUr2nxQ?si=SFuezxA1Tv_Vh15E
P1,5,HOME,9,8,Salem News Channel,POLITICA,A economia de Trump esta crescendo rapidamente,https://youtu.be/jJEUaVQ67Jw?si=OJwIxbO4ri6SOAzN
P1,5,HOME,10,9,Rede TVT,POLITICA,Presidente do Instituto Vox Populi aposta em Lula forte e vitoria,https://youtu.be/S0RxR0J3xt4?si=-mdgl0mO_LkkpOt7
P1,5,HOME,5,10,SBT News,POLITICA,Primeira Turma fixa penas para acusados no caso Marielle,https://youtu.be/Qw-S_HnmHRw?si=0P6sllnbLracZt0S
P1,5,NEXT,1,1,SBT News,POLITICA,Camara livra bets de pagar R$ 30 bi apos manobra,https://youtu.be/7KLxMD8jluw?si=ncM3TxSHtJojILFB
P1,5,NEXT,2,2,CNN Brasil,POLITICA,Lula aparece a frente de todos os candidatos no 1 turno,https://youtu.be/iOtDsUdvEtE?si=2qofCcHhnVyjeZ9P
P1,5,NEXT,3,3,Record News,POLITICA,"Apos visita a Bolsonaro, Flavio tenta apziguar briga entre Eduardo",https://youtu.be/KrvUhEhUU5c?si=HWPtQUWJHU-qG0bq
P1,5,NEXT,4,4,CanalGov,POLITICA,Delegacoes de paises africanos e governo do Brasil realizam intercambio ,https://youtu.be/TTEDvxlR2wI?si=u8PGn9GQMd5maG6e
P1,5,NEXT,5,5,Poder360,POLITICA,Motta diz aceitar com naturalidade possiveis vetos,https://youtu.be/2_Q5tDnPgZE?si=mqCGf5nXXDDuR3KJ
P1,5,NEXT,7,6,Radio Bandeirantes,POLITICA,Camara aprova PL Antifaccao e endurece ,https://youtu.be/xJrag-Qb_pc?si=3nlBMqIXldvsiIkc
P1,5,NEXT,9,7,Jovem Pan News,POLITICA,PL Antifaccao segue para sancao do presidente Lula,https://youtu.be/ppkYv-DmxLw?si=0ydFQHC2lQ8wsS-8
P1,5,NEXT,6,8,CNN Brasil,POLITICA,Congresso ve maioria para derrubar veto da dosimetria,https://youtu.be/vrMpBubBKN0?si=egF-yYxLViP_d5eH
P1,5,NEXT,8,9,Poder360,POLITICA,"Oposicao protocola ""impeachmaco"" de ministros de Lula",https://youtu.be/HJ2O0SZPEkM?si=5aR5cWBXbjT4M5tK
P1,5,NEXT,10,10,SBT News,POLITICA,Presidente da ADPF critica PL Antifaccao apos mudancas no texto aprovado na Camara,https://youtu.be/Nd4kGF0cDOc?si=Fr8e7KV1Puw6Orev
P2,1,HOME,1,1,Mariana Santos,FITNESS,10 SEGREDOS DA NEUROCIENCIA para que nada (e ninguem) te afete,https://youtu.be/Z_awCa8Ko_M?si=ZuPbOH5hPSW14Xd_
P2,1,HOME,2,2,Carol Iasmim,FITNESS,10 formas de ser visto como referencia,https://youtu.be/6qQW00leg5I?si=xS3E-f4S1OjX_xNc
P2,1,HOME,3,3,Laercio Refundini,FITNESS,Treino de POSTERIOR DE COXA  Completo (Baseado na Ciencia),https://youtu.be/I85_HMUQiUk?si=aaHQwC_QVORWEfjD
P2,1,HOME,4,4,Vane Fit,FITNESS,BRACOS DEFINIDOS EM 20 minutos - Treino em casa,https://youtu.be/FngDojKgkJM?si=0Lg59tQsjjxh4Fxd
P2,1,HOME,5,5,Wany Santos,FITNESS,TREINO DE PERNAS E GLUTEOS INTENSO EM CASA,https://youtu.be/E_Il7glQfY0?si=txg0R3feIqCRSCjs
P2,1,HOME,6,6,Voce Magra,FITNESS,PAOZINHO de GEMAS com 3 INGREDIENTES 7g de Proteina e SEM FARINHA,https://youtu.be/5KQB0-IVFpU?si=JBeSWSVHcEJv7zOf
P2,1,HOME,7,7,Ecomka,FITNESS,como ganhar 10 mil reais trabalhando de casa,https://youtu.be/M_XpS8G7FDU?si=diflhcl9JZjNUwgy
P2,1,HOME,8,8,Tay Training,FITNESS,NUNCA MAIS precise do BULGARO para empinar o gluteo,https://youtu.be/yuhiRo-n9Uo?si=Rm_C51NIw4qcPoLe
